,,,,,,
,Asset Class,Primary ETF,Vendor,Underlying Index,Expense Ratio,
,U.S. Stocks,VTI,Vanguard,CRSP US Total Market Index,0.04%,
,Foreign Stocks,VEA,Vanguard,FTSE Developed All Cap ex US Index,0.07%,
,Emerging Markets,VWO,Vanguard,FTSE Emerging Markets All Cap China A Inclusion Index,0.14%,
,Real Estate **,VNQ,Vanguard,MSCI US REIT,0.12%,
,Natural Resources,XLE,State Street,S&P Energy Select Sector Index,0.14%,
,U.S. Government Bonds **,BND,Vanguard,Barclays Aggregate Bond,0.05%,
,TIPS,SCHP,Schwab,Barclays Capital U.S. TIPS,0.05%,
,Municipal Bonds,VTEB,Vanguard,S&P National Municipal,0.09%,
,Dividend Stocks,VIG,Vanguard,Dividend Achievers Select,0.09%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,